candidate_id,ticker,v3_status,boil_status,aggregate_status,simulation_action,replacement_candidate_id,expected_pool_membership
stage3:BTBT:363898884d44,BTBT,FAIL,PASS,FAIL,REMOVE,,EXCLUDED
stage3:BMA:0c978464f9dd,BMA,PASS,PASS,PASS,KEEP,,INCLUDED
stage3:BMI:07d4ee0f7841,BMI,FAIL,PASS,FAIL,REMOVE,,EXCLUDED
stage3:CRS:8695c9ce3320,CRS,PASS,PASS,PASS,KEEP,,INCLUDED
stage3:BCS:5e7da5a74b01,BCS,FAIL,PASS,FAIL,REMOVE,,EXCLUDED
stage3:BNTX:d667608bc166,BNTX,FAIL,PASS,FAIL,REMOVE,,EXCLUDED
stage3:ALGT:aec5dd5b1dc1,ALGT,PASS,PASS,PASS,KEEP,,INCLUDED
stage2:CMC:4f6ee2739add,CMC,PASS,PASS,PASS,KEEP,,INCLUDED
stage3:BN:d264957fe5f6,BN,PASS,PASS,PASS,KEEP,,INCLUDED
stage3:BWXT:f195725cb792,BWXT,PASS,PASS,PASS,KEEP,,INCLUDED
stage3:ADMA:42437a3ee595,ADMA,PASS,PASS,PASS,KEEP,,INCLUDED
stage3:BB:f1bdfe7f8ad9,BB,PASS,PASS,PASS,KEEP,,INCLUDED
stage3:ACMR:44c1e02681c4,ACMR,PASS,PASS,PASS,KEEP,,INCLUDED
stage3:ANET:fe220620802b,ANET,PASS,PASS,PASS,KEEP,,INCLUDED
stage3:ARKW:296c057b4ef7,ARKW,PASS,PASS,PASS,KEEP,,INCLUDED
stage3:CBRL:677767a0b6a9,CBRL,PASS,PASS,PASS,KEEP,,INCLUDED
stage3:CRK:997177aa687b,CRK,FAIL,PASS,FAIL,REMOVE,,EXCLUDED
stage3:AEIS:6e26f08a7c6d,AEIS,PASS,PASS,PASS,KEEP,,INCLUDED
